शब्द	मूल	पर्याय	मूल भाषा में	रूप	Regex	Reference
इस्तकबाल	अरबी	स्वागत		इस्तेकबाल, ईस्तकबाल, ईस्तेकबाल		
इस्तगासा	अरबी	अभियोग,				
इस्मतफरोश	अरबी+फारसी	वेश्या				
इस्तमरार	अरबी	स्थायित्व,				
इस्तमरारी	अरबी	स्थायी,				
इस्तिकलाल	अरबी	दृढ़ता,				
इस्तीफा	अरबी	त्यागपत्र		इस्तीफों, इस्तीफे		
इस्तिलाह	अरबी	???				
इस्तिलाही	अरबी	लाक्षणिक, पारिभाषिक,				
इस्तेमाल	अरबी	उपयोग, प्रयोग		ईस्तेमाल, इस्तमाल, ईस्तमाल		
इस्तेमाली	अरबी	उपयोगी				
इस्पात	पुर्तगाली	???				
इस्म	अरबी	नाम, संज्ञा,				
इस्मत	अरबी	सतीत्व, पातिव्रत्य,				
इस्मेशरीफ़	अरबी	शुभनाम				
इस्लाह	अरबी	सुधार, संशोधन		इस्लाहे		
इसबगोल	फारसी	???				1. औषधि के रूप में प्रयुक्त एक पौधा 2. उक्त पौधे के सफ़ेद बीजों से बनी हुई दवा जो उदर या पेट के विकारों को दूर करती है।
इसराफ़	अरबी	अपव्यय				
इसरार	अरबी	आग्रह, हठ,				
इसलाह	अरबी	सुधारना, संशोधन,				
इसहाल	अरबी	अतिसार,				
इहाता	अरबी	क्षेत्र				
						
ईजाद	अरबी	अविष्कार, नवनिर्माण,				
ईमन	फारसी	???				(संगीत) एक प्रकार की रागिनी जिसे रात के पहले पहर में गाया जाता है।
ईमा	अरबी	संकेत, तात्पर्य, आदेश,				
ईजादी	अरबी	अविष्कारी,				
ईमान	अरबी	अल्लाह पर विश्वास		इमान		
ईमानदार	अरबी	[मूल अर्थ: जिसे अल्लाह पर विश्वास है] प्रामाणिक, सत्यनिष्ठ, निष्कपट		इमानदार		
ईमानदारी	अरबी+फारसी	[मूल अर्थ: अल्लाह पर विश्वास] प्रामाणिकता, निष्कपटता, सत्यनिष्ठा, धर्मनिष्ठता		इमानदारी		
ईमाय	अरबी	ध्वनि, संकेत,				
ईस्ट	आङ्ग्लभाषा	पूर्व				
ईसार	अरबी	त्याग, स्वार्थत्याग,				
						
उकाब	अरबी	गिद्ध, गरुड़,				
उज्र	अरबी	विरोध, आपत्ति,				
उज्रदार	अरबी+फारसी	आपत्तिकर्ता, विरोधकर्ता				
उज्रदारी	अरबी+फारसी	आपत्तिपत्र				
उजबक	तुर्की	मुर्ख				
उजरत	अरबी	पारिश्रमिक				
उदूल	अरबी	अवज्ञा, उल्लंघन,				
उदूलहुक्मी	अरबी	अवज्ञा, उल्लंघन,				
उन्वान	अरबी	शीर्षक				
उफ़क	अरबी	क्षितिज,				
उम्दगी	अरबी	श्रेष्ठता				
उम्दा	अरबी	उत्तम, श्रेष्ठ, प्रशंसनीय		उमदा		
उम्मा	अरबी	महम्मदन समुदाय		उम्मत, उम्मते		
उम्मीद	फारसी	आशा, अपेक्षा		उम्मीदें, उमीद, उम्मीदों , उम्मेद,		
